id,name,url,regular_price,promo_price,brand
647506,"Вино Kagor Meteora красное сладкое, 0.75л",/products/kagor-meteora-krasnoe-sladkoe-075-l,1399,1399,KAGOR METEORA
576144,"Вино El Bar Argentino Malbec красное сухое, 0.75л",/products/bar-argentino-malbec-krasnoe-suhoe-075-l,599,599,EL BAR ARGENTINO
2749428,"Вино Di Caspico Riesling белое сухое, 0.75л",/products/075vino-di-kaspiko-risling-bl-sh,479,383.2,DI CASPICO
595692337,"Вино Khorovats Kangun-Voskeat белое сухое, 0.75л",/products/075l-vino-horovats-kangun-voskeat-bl-sh,649,519.2,KHOROVATS
210264,"Вино Freschello Bianco белое полусухое, 0.75л",/products/cielo-freschello-bianco-beloe-polusuhoe-105-075-l,749,599.2,FRESCHELLO
181523,"Вино Villa Antinori Vermentino Bolgheri белое сухое, 0.75л",/products/art_322731,3999,3199.2,VILLA ANTINORI
626257,"Вино Chateau Mukhrani Kindzmarauli красное полусладкое, 0.75л",/products/075-l-shato-muhrani-kinzdmarauli-kr-psl,2199,1799,CHATEAU MUKHRANI
477097,"Вино Mahler-Besse Cheval Noir Saint-Emilion красное сухое, 0.75л",/products/mahler-besse-cheval-noir-saint-emilion-krasnoe-suhoe-075-l,3549,3549,MAHLER-BESSE
593519,"Вино Cantina Diomede Nero di Troia Puglia Canace полусухое красное, 0.75л",/products/vino-polusuhoe-krasnoe-nero-di-troia-puglia-canace-cantina-diomede-075-l-109756,4999,4999,CANTINA DIOMEDE
547635,"Вино Graziano Pra Morandina Valpolicella красное сухое, 0.75л",/products/pra-morandina-valpolicella-krasnoe-suhoe-075-l-59316,2299,2299,PRA
413151254,"Вино Weinhaus Cannis Riesling белое полусухое, 0.75л",/products/075l-vino-vaynhaus-kannis-risling-bl-psh-211946,939,751.2,WEINHAUS CANNIS
469729,"Вино Chateau L'eglise красное сухое, 0.75л",/products/sovex-wolther-chateau-leglise-bordeaux-krasnoe-suhoe-075-l,1259,1259,CHATEAU L'EGLISE
411896,"Вино Винодельня Ведерниковъ Сибирьковый белое сухое, 0.75л",/products/vedernikov-sibirkovyj-beloe-suhoe-075-l-565810-565810,798,638.4,ВИНОДЕЛЬНЯ ВЕДЕРНИКОВЪ
254544,"Вино Casa Santos Lima Quinta das Amoras белое полусухое, 0.75л",/products/quinta-das-amoras-beloe-polusuhoe-075-l-520371,899,719.2,CASA SANTOS
483820,"Вино ликерное Солнечная Долина Порто белое сладкое, 0.75л",/products/solnechnaya-dolina-portvejn-krymskij-075-l,699,559.2,СОЛНЕЧНАЯ ДОЛИНА
367007,"Вино Torres Salmos Priorat красное сухое, 0.75л",/products/torres-salmos-priorat-krasnoe-suhoe-075-l-531171,4799,3999,TORRES
595561356,"Вино Gato Negro Carmenere красное сухое, 0.75л",/products/075l-vino-gato-negro-karmener-kr-sh-223577,849,699,GATO NEGRO
529935,"Вино Les Celliers Jean D'alibert Le Grand Noir Pinot Noir красное полусухое, 0.75л",/products/le-grand-noir-jardin-de-la-taur-grenache-syrah-krasnoe-polusuhoe-075-l,1099,1099,LES CELLIERS JEAN D'ALIBERT
249115,"Вино Matsu El Recio Toro DO красное сухое, 0.75л",/products/matsu-el-recio-krasnoe-suhoe-075-l-515556,3399,3399,MATSU
